63469 | 32007 | SYN | 104 | 1669100087.083041
32007 | 63469 | SYNACK | 104 | 1669100087.083664
63469 | 32007 | ACK | 104 | 1669100087.083668
63469 | 59868 | DATA | 8000 | 1669100087.084223
59868 | 63469 | FIN | 104 | 1669100087.874946
63469 | 59868 | DATA | 8000 | 1669100087.8755012
59868 | 63469 | FIN | 104 | 1669100088.443169
63469 | 59868 | DATA | 8000 | 1669100088.4435
59868 | 63469 | FIN | 104 | 1669100089.2348611
63469 | 59868 | DATA | 8000 | 1669100089.235134
59868 | 63469 | FIN | 104 | 1669100089.236131
63469 | 59868 | DATA | 8000 | 1669100089.236394
59868 | 63469 | FIN | 104 | 1669100090.080707
63469 | 59868 | DATA | 8000 | 1669100090.081316
59868 | 63469 | FIN | 104 | 1669100090.083352
63469 | 59868 | DATA | 8000 | 1669100090.0839381
59868 | 63469 | FIN | 104 | 1669100090.6169229
63469 | 59868 | DATA | 8000 | 1669100090.617622
59868 | 63469 | FIN | 104 | 1669100091.230289
63469 | 59868 | DATA | 8000 | 1669100091.2306502
59868 | 63469 | FIN | 104 | 1669100091.231832
63469 | 59868 | DATA | 8000 | 1669100091.232105
59868 | 63469 | FIN | 104 | 1669100091.939571
63469 | 59868 | DATA | 8000 | 1669100091.940004
59868 | 63469 | FIN | 104 | 1669100092.9424288
63469 | 59868 | DATA | 8000 | 1669100092.9426718
59868 | 63469 | FIN | 104 | 1669100094.977623
63469 | 59868 | DATA | 8000 | 1669100094.977961
59868 | 63469 | FIN | 104 | 1669100094.9792151
63469 | 59868 | DATA | 8000 | 1669100094.979527
59868 | 63469 | FIN | 104 | 1669100095.952509
63469 | 59868 | DATA | 8000 | 1669100095.952847
59868 | 63469 | FIN | 104 | 1669100096.670211
63469 | 59868 | DATA | 8000 | 1669100096.670811
59868 | 63469 | FIN | 104 | 1669100096.6729689
63469 | 59868 | DATA | 8000 | 1669100096.67398
59868 | 63469 | FIN | 104 | 1669100096.675601
63469 | 59868 | DATA | 8000 | 1669100096.6760662
59868 | 63469 | FIN | 104 | 1669100097.375147
63469 | 59868 | DATA | 8000 | 1669100097.37539
59868 | 63469 | FIN | 104 | 1669100098.3306181
63469 | 59868 | DATA | 8000 | 1669100098.330986
59868 | 63469 | FIN | 104 | 1669100099.1385422
63469 | 59868 | DATA | 8000 | 1669100099.139168
59868 | 63469 | FIN | 104 | 1669100099.1419468
63469 | 59868 | DATA | 8000 | 1669100099.142525
59868 | 63469 | FIN | 104 | 1669100101.621461
63469 | 59868 | DATA | 8000 | 1669100101.6221051
59868 | 63469 | FIN | 104 | 1669100102.193949
63469 | 59868 | DATA | 8000 | 1669100102.1952379
59868 | 63469 | FIN | 104 | 1669100102.1986701
63469 | 59868 | DATA | 8000 | 1669100102.1995368
59868 | 63469 | FIN | 104 | 1669100102.986327
63469 | 59868 | DATA | 8000 | 1669100102.986913
59868 | 63469 | FIN | 104 | 1669100105.4833238
63469 | 59868 | DATA | 8000 | 1669100105.484083
59868 | 63469 | FIN | 104 | 1669100106.3098009
63469 | 59868 | DATA | 8000 | 1669100106.311073
59868 | 63469 | FIN | 104 | 1669100107.141657
63469 | 59868 | DATA | 8000 | 1669100107.142926
59868 | 63469 | FIN | 104 | 1669100107.145675
63469 | 59868 | DATA | 8000 | 1669100107.1463969
59868 | 63469 | FIN | 104 | 1669100107.690526
